id,year,horizon,resolution_year,p_checkable,p_sarcastic,specificity_level,domain,direction,story_title,comment,llm_verdict,llm_summary,llm_sources,anthony_verdict,anthony_sources,notes
6831501,2013,1_to_5y,2018,0.83,0.09,2.99,product_adoption,success,Amazon Prime Air,"Once they have tens of thousands of these operating, i'd imagine per unit cost will fall below $2000 within few years, even accounting for R&D.  If it can deliver 10 packages per day (accounting for charge time), that's 3600 deliveries per year.  Even if you have to replace it after 1 year, it's 50-60 cents per delivery.

This will be perfect for suburbs nearby metropolitan regions.",did_not_come_true,"By 2018 Amazon had no commercial drone delivery operations at all — it only received FAA Part 135 air-carrier certification in August 2020, and real deliveries only began in late 2022. Even today (2026), Amazon Prime Air operates from about a dozen sites with only 12-20 drones per site (hundreds of drones total, not 'tens of thousands'), and cumulative deliveries are in the tens of thousands, nowhere near the 3,600 deliveries/drone/year implied by the comment. The commenter's specific quantitative prediction (tens of thousands of ~$2,000 drones each doing 10 deliveries/day) never materialized within the stated few-years/2018 horizon, and even by 2026 the scale described has not been reached.",https://en.wikipedia.org/wiki/Amazon_Prime_Air https://www.cnbc.com/2023/05/18/amazons-100-drone-deliveries-puts-prime-air-behind-google-and-walmart.html https://www.marketplacepulse.com/articles/ten-years-of-amazon-drones https://www.freightwaves.com/news/amazon-to-scale-up-drone-delivery-in-2025-ceo-says https://www.foxnews.com/tech/amazon-drone-delivery-coming-nearly-500-cities,,,
13330322,2017,1_to_5y,2022,0.81,0.11,2.45,company_fate,no_change,The ad tech renaissance,"This article is mostly bullshit.

AppNexus is one of the major SSPs (sell-side platforms) but they still have major fraud and legacy tech issues. They are also one of the primary causes of miserable user experiences across the web. They will not be part of any adtech renaissance.

Google won't flinch if margins really do go down to single-digit margins. They're already built for worse conditions than today and are just pacing the market, as seen with the whole header bidding scenario. They also have Google Cloud rapidly scaling and will likely be a bigger source of revenue than their entire ads division in a few years.

Meanwhile AppNexus can barely survive on their current margins and will be out of business if it hits single-digits. The disintermediation mentioned in this article will also apply just as harshly to AppNexus.

The lame insights about machine learning and formats aren't anything special. This is why Google and Facebook get all the money already, because they have a much faster, cleaner, more relevant, and more effective ad experiences. The renaissance is already here and it's getting increasingly harder to compete with these data behemoths. It's not impossible though and there are several niche focused ad startups, but there's no big sea change about to happen. This is all just business as usual.",partly,"AppNexus indeed failed to become part of any 'adtech renaissance' — it was swallowed by AT&T in 2018, languished as Xandr, was sold to Microsoft in 2021-22, and Microsoft ultimately shut down its DSP business (the old AppNexus core) in 2025/2026, confirming the commenter's skepticism about AppNexus's survival. However, the specific prediction that Google Cloud would become 'a bigger source of revenue than their entire ads division in a few years' clearly did not happen — by 2022 Google Cloud revenue (~$26B) was less than one-eighth of Google advertising revenue (~$224B), and the gap remained enormous through 2023-2025. Additionally, the claim that it would get 'increasingly harder to compete' with Google/Facebook was undercut by the actual erosion of the Google-Meta 'duopoly' share of US digital ad spend below 50% by 2022 amid rising competition from Amazon, TikTok, and retail media.",https://www.sec.gov/Archives/edgar/data/1652044/000165204423000016/goog-20221231.htm https://en.wikipedia.org/wiki/Xandr https://www.adexchanger.com/online-advertising/microsoft-invest-formerly-xandr-dsp-and-formerly-appnexus-before-that-will-just-be-formerly/ https://www.adexchanger.com/online-advertising/xandr-formerly-appnexus-is-now-formerly-att-after-its-acquisition-by-microsoft/ https://www.axios.com/2022/12/20/google-meta-duopoly-online-advertising https://www.digitalinformationworld.com/2022/07/meta-and-googles-ad-spend-duopoly-to.html https://www.forbes.com/sites/bradadgate/2022/11/03/revenue-of-alphabet-and-meta-the-digital-duopoly-have-been-slipping/,,,
8824178,2015,under_1y,2016,0.87,0.17,1.89,company_fate,no_change,What is going to happen in 2015,"Xiaomi will spend some of the $1.1bn they just raised coming to the US

I doubt that. Most of the $1.1bn would be spent defending against IP lawsuits that operating the US would make them vulnerable to. Xiaomi's phones look like a better rip off of Apple than Samsung was able/willing to do, and Apple will sue them if they enter a market with good IP protection.",came_true,"Xiaomi never launched an official smartphone business in the U.S.—a brief, unauthorized one-day sale through carrier US Mobile in February 2016 was quickly shut down by T-Mobile, and Xiaomi still has no official U.S. smartphone presence as of 2025. Consistent with the commenter's IP-litigation concern, Xiaomi was hit with a patent-infringement suit (by patent-troll firm Blue Spike) in Texas in late 2015 specifically over its Mi 4/Mi 5 phones ahead of any planned U.S. entry, illustrating the IP exposure the commenter anticipated, even though it wasn't Apple itself suing over 'rip-off' design as literally guessed. A decade later, Xiaomi—despite being the world's #3 smartphone maker—still has never officially sold phones in the U.S. market, confirming the core prediction that the $1.1bn raise would not translate into a genuine U.S. smartphone launch.",https://www.scmp.com/tech/enterprises/article/1889024/chinas-xiaomi-slapped-patent-infringement-suit-blue-spike-us-over https://www.slashgear.com/xiaomi-enters-the-us-market-via-carrier-but-theres-a-catch-01425134/ https://www.slashgear.com/1219192/why-xiaomi-phones-are-not-sold-in-the-us/ https://www.androidauthority.com/did-you-know-xiaomi-phones-sold-us-carrier-one-day-3545737/ https://www.cnbc.com/2020/01/22/xiaomi-still-eying-us-market-entry-despite-trade-war.html,,,
10673510,2015,1_to_5y,2020,0.82,0.15,1.86,language_or_framework,change,Swift is Open Source,"Swift 3 will be ABI stable, so things will break less - that might not include standard library stability, but Swift projects currently include a copy of the standard library to avoid that.",did_not_come_true,"The commenter's specific claim was that Swift 3 would achieve ABI stability. In fact, ABI stability for Swift 3 was deferred by Chris Lattner in mid-2016 and did not ship until Swift 5.0 in March 2019. The interim solution the commenter mentioned—apps bundling their own copy of the Swift standard library—remained necessary through Swift 3 and 4, only becoming unnecessary once Swift 5 shipped an ABI-stable runtime embedded in the OS.",https://www.infoq.com/news/2016/05/swift-3-no-stable-abi/ https://www.swift.org/blog/abi-stability-and-more/ https://www.nutrient.io/blog/binary-frameworks-swift/,,,
2283594,2011,under_1y,2012,0.78,0.18,1.93,language_or_framework,failure,Disney acquires gaming engine startup to build HTML5 games outside of App stores,"With WebGL on the very near horizon, I think making HTML5 games with the 2D canvas is going to die before it even gets off the ground.

With that said, I'm sure the guys at Rocket Pack are insanely talented and will be on the forefront of WebGL development when the time comes.",did_not_come_true,"Canvas 2D never died out — it remained (and remains) a widely used, standard technology for 2D HTML5 games, with frameworks like Phaser continuing to rely heavily on it, while WebGL became the go-to choice mainly for 3D or graphics-intensive 2D scenes rather than replacing canvas entirely. Modern guides from 2024-2025 still frame Canvas 2D as the default/simpler choice for 2D games and WebGL as a complementary, higher-performance option, showing the two coexist rather than one supplanting the other as the commenter predicted.",https://friendzy.xyz/2025/07/22/webgl-vs-html5-for-browser-games/ https://medium.com/@playgama-dev/html5-game-development-trends-and-tools-for-2025-fe54af43ca70 https://gamineai.com/blog/game-development-with-javascript-html5-canvas-vs-webgl https://reintech.io/blog/canvas-api-game-development,,,
20144297,2019,1_to_5y,2024,0.75,0.36,1.92,infrastructure,failure,Apple Is Listening,"I’d reckon this is part of the long term plan for the T2 chip, they just need a few years before they can stop supporting the “normal” computers.",came_true,"Apple completed its Intel-to-Apple-Silicon transition in June 2023 with the release of the M2 Ultra Mac Pro, meaning Apple no longer sells or manufactures 'normal' (Intel-based, open-architecture) Macs ""as long ago as 2023."" This confirms the commenter's 2019 prediction that the T2 chip was a stepping stone toward Apple eventually dropping support for standard, less-locked-down computers in favor of its own tightly integrated custom silicon; by 2026 Apple has even set a firm end date (2028) for security updates on remaining Intel machines and macOS 26 Tahoe is already the last major OS release supporting them.",https://en.wikipedia.org/wiki/Mac_transition_to_Apple_silicon https://www.bgr.com/tech/apples-last-remaining-intel-macs-have-been-quietly-discontinued/ https://www.macworld.com/article/3224482/apple-just-ended-support-for-three-more-intel-macs.html https://tech.yahoo.com/computing/articles/apple-plans-phase-intel-mac-182050812.html,,,
19481373,2019,under_1y,2020,0.71,0.27,1.98,society_work,change,"Mathigon – an interactive, personalized mathematics textbook","If you are referring the course content creation. Well, I have thought about it.

In the initial stages, No.

You would want to have control over the content to 
1. Update / Iterate it faster 
2. Sense of continuity when switching from one course to successive one.

One of the problem, I have personally felt is the abundance of video based courses for a single topic. And none whatsoever for a deeper topic.

When you jump from one video-based course to another, then you either feel there is a bit of overlap or a bit of skip of content. This is due to different university teaching style and syllabus.

Self-learning online today, basically feels a bit disorganized. You need to scourge through the entire internet to find good resources. A lot of people have created wonderful platforms (""awesome"" repos, Learn-anything.xyz etc) to curate those resources and my experience has been opposite when I encounter these resources.

I need one good resource, not 10+ resources to learn about a topic. And when I do complete a course, I feel I am missing out by not completing other good resource. This might be only a personal experience though.

The D.R.Y. Principle I wrote in the website, basically means, you don't need to waste effort studying something you have already covered. The teaching style will be uniform. And you can scale deeply. Kind of a like an endless book that keeps on adding new updated things for you to learn more. It is easier when you are in charge of course creation.

That being said, all the Course Notebooks, will be available free for everyone. Anyone can read what Primer is trying to teach without spending a penny.

Also, I don't have a fixed plan. Everything is based on this hypothesis that Conversational Learning is better for self-studying than video based courses. Given we are able to prove by putting Computer Science Resources by the end of the year, then we can discuss about what would be the best way forward.

Hope it makes sense.",partly,"The commenter's Primerlabs project did eventually release conversational, self-paced computer science courses (covering topics like machine learning, distributed systems, and computer networks), which was the core hypothesis test he described. However, this launch (a public ""Show HN"" beta) did not happen until July 2021—well over a year past his stated end-of-2019/2020 goal—and even then the company remained tiny, unfunded, and had not moved on to other subjects like math as originally envisioned; PitchBook now lists Primer Labs as ""Out of Business.""",https://news.ycombinator.com/item?id=27884189 https://primerlabs.io/faqs/ https://devblog.primerlabs.io/introducing-primer-conversational-learning-medium https://tracxn.com/d/companies/primer/__5EOCEWpADKKout-xvUjjiS13d4nSIDxIqwDGPHQ31_g https://pitchbook.com/profiles/company/596077-30 https://www.cbinsights.com/company/primerlabs/,,,
11829156,2016,1_to_5y,2021,0.7,0.24,1.98,infrastructure,change,Microsoft uses malware tactics to foist Windows 10 on more PCs,"I agree. But I would expect Windows Pro to be that edition. The ""pro"" doesn't stand for much right now.",did_not_come_true,"By 2021 (and beyond), Windows 10/11 Pro still shared most of the consumer-annoyance issues the commenter was complaining about — built-in Start menu/lock-screen ads and default telemetry collection could not be fully disabled on Pro, only on the Enterprise edition; Home users lacked Group Policy access but Pro's main edge was mainly update-deferral via gpedit, not exemption from the 'malware-like' forced update/ads/telemetry behavior. So the hope that Pro would become the differentiated, 'stands for something' edition exempt from these tactics did not materialize; Enterprise (and later LTSC) remained the tier that actually avoided them.",https://www.howtogeek.com/269331/how-to-disable-all-of-windows-10s-built-in-advertising/ https://winaero.com/how-to-disable-telemetry-and-data-collection-in-windows-10/ https://www.bleepingcomputer.com/news/microsoft/microsoft-removed-the-defer-feature-update-setting-in-windows-10/ https://www.computerworld.com/article/1630938/microsoft-strips-manual-deferrals-of-future-feature-upgrades-from-windows-10-cites-confusion.html https://mananapr.github.io/win10_ltsc.html,,,
15699748,2017,under_1y,2018,0.78,0.33,1.62,product_adoption,success,How to Get Rich Playing Video Games Online,"Actually a great idea, and this sort of ""augmented viewing"" will almost certainly happen sooner rather than later.",came_true,"The comment (in the HN thread on the New Yorker's Twitch profile) predicted that 'augmented viewing' — real-time data/stat overlays layered on top of game streams for viewers — would happen soon. This is exactly what occurred: Twitch launched its Extensions platform in September 2017, letting developers build interactive video-player overlays (e.g., Destiny Armory Overlay, PUBG/Rocket League live trackers) that surfaced live game data directly on top of streams, and by 2018 more extensions like Esports One's League of Legends OneView followed. Since then, real-time stat overlays and AR-style graphics have become a standard, ubiquitous feature of esports broadcasts and Twitch/YouTube streaming.",https://blog.twitch.tv/en/2017/08/31/introducing-extensions-a-streaming-revolution-c31762addcd9/ https://www.geekwire.com/2017/twitch-unveils-new-tools-content-creators-including-gear-amazon-monetization-platform/ https://www.neowin.net/news/twitch-extensions-go-live/ https://www.pcgamer.com/twitch-extensions-will-bring-new-interactive-experiences-to-streams/ https://en.wikipedia.org/wiki/Esports_One https://www.vizrt.com/community/case-studies/esports/live-league-of-legends-esports-with-ar/,,,
20913863,2019,under_1y,2020,0.67,0.09,1.99,language_or_framework,success,"Great products do less, but better","A while back I stared extracting all this cruft / boilerplate stuff into a parallel web application that complements your web app so we can avoid rewriting it and let it stably do the boring stuff while your application develops independently.  I have a few details left to take care of in the coming weeks and then it will just be a rock-solid, well-tested, well-documented companion web app for everything from tiny web apps through to SaaS and Stripe Connect platforms which it supports through modules.

https://userdashboard.github.io/home",came_true,"The commenter's project became the ""Dashboard"" open-source software (github.com/userdashboard), which by August 2019 was launched via a Show HN post as a self-hosted, modular companion web app handling accounts, organizations, and Stripe Subscriptions/Stripe Connect payments—exactly matching the description in the original comment. The documentation site (userdashboard.github.io) confirms these features (Account management, User administration, Organizations, Stripe Subscription payments, Stripe Connect payouts) were completed and documented, along with example apps and modules, fulfilling the ""few weeks"" timeline stated for a 2019-2020 horizon.",https://news.ycombinator.com/item?id=20752198 https://userdashboard.github.io/ https://github.com/userdashboard/dashboard https://github.com/userdashboard/stripe-subscriptions https://github.com/userdashboard/organizations https://github.com/userdashboard/example-subscription-web-app,,,
