id,stratum,is_prediction,is_checkable,is_sarcastic,is_conditional,direction,domain,horizon,stance_vs_thread,certainty,specificity,subject_text,labeler,notes,source
2300587,uniform,0,,,,,,,,,,,anthony,,human
18184233,uniform,0,,,,,,,,,,,anthony,,human
9412866,uniform,0,,,,,,,,,,,anthony,,human
9660446,uniform,0,,,,,,,,,,,anthony,,human
18297242,uniform,0,,,,,,,,,,,anthony,,human
17277650,uniform,0,,,,,,,,,,,anthony,"at will is employment status, not a forecast",human
10297725,uniform,0,,,,,,,,,,,anthony,,human
21520789,uniform,0,,,,,,,,,,,anthony,,human
12295055,uniform,0,,,,,,,,,,,anthony,,human
10075231,uniform,0,,,,,,,,,,,anthony,,human
19904808,uniform,0,,,,,,,,,,,anthony,,human
7608491,uniform,0,,,,,,,,,,,anthony,"reader motivation, not a tech forecast",human
3493169,uniform,0,,,,,,,,,,,anthony,,human
17159572,uniform,1,1,0,0,change,policy_law,unstated,contrarian,1.0,1.0,"United States internet regulation, EU regulatory influence",anthony,the United States will create the opposite regime,human
14840402,uniform,0,,,,,,,,,,,anthony,,human
5388905,uniform,0,,,,,,,,,,,anthony,,human
10855235,uniform,0,,,,,,,,,,,anthony,,human
11829156,uniform,1,1,0,0,change,infrastructure,1_to_5y,agrees,1.0,1.0,Windows Pro edition,anthony,I would expect Windows Pro to be that edition,human
19992565,uniform,0,,,,,,,,,,,anthony,,human
2283368,uniform,0,,,,,,,,,,,anthony,,human
9054911,uniform,0,,,,,,,,,,,anthony,,human
8885534,uniform,0,,,,,,,,,,,anthony,,human
17391148,uniform,0,,,,,,,,,,,anthony,,human
2569429,uniform,0,,,,,,,,,,,anthony,,human
6398715,uniform,0,,,,,,,,,,,anthony,,human
20630004,uniform,0,,,,,,,,,,,anthony,,human
15920677,uniform,0,,,,,,,,,,,anthony,"present language behavior, not forecast",human
19057499,uniform,0,,,,,,,,,,,anthony,,human
9183840,uniform,0,,,,,,,,,,,anthony,,human
14775621,uniform,0,,,,,,,,,,,anthony,,human
6135551,uniform,1,1,0,0,change,language_or_framework,unstated,agrees,2.0,1.0,Go programming language on Bitcast.io,anthony,We're definitely planning on adding Go.,human
12317972,uniform,0,,,,,,,,,,,anthony,,human
14129017,uniform,1,0,0,0,change,,unstated,agrees,2.0,1.0,cameras,anthony,cameras will look very different from what they look now,human
13288548,uniform,0,,,,,,,,,,,anthony,,human
432897,uniform,0,,,,,,,,,,,anthony,"learning advice, not a scoped forecast",human
11546030,uniform,0,,,,,,,,,,,anthony,,human
16868361,uniform,0,,,,,,,,,,,anthony,,human
6712935,uniform,0,,,,,,,,,,,anthony,,human
10391461,uniform,0,,,,,,,,,,,anthony,"Describes current tracking, not a later outcome",human
8898332,uniform,0,,,,,,,,,,,anthony,,human
1903707,uniform,0,,,,,,,,,,,anthony,"Describes puzzle options, not a forecast",human
10374670,uniform,0,,,,,,,,,,,anthony,,human
12285248,uniform,0,,,,,,,,,,,anthony,,human
7277772,uniform,0,,,,,,,,,,,anthony,,human
5993843,uniform,0,,,,,,,,,,,anthony,,human
6014644,uniform,0,,,,,,,,,,,anthony,"hopeful wish, not an asserted forecast",human
8844779,uniform,0,,,,,,,,,,,anthony,,human
13513653,uniform,1,1,0,0,no_change,,under_1y,contrarian,1.0,2.0,Washington Post,anthony,I don't think that this is happening anytime soon,human
18912695,uniform,0,,,,,,,,,,,anthony,,human
14909082,uniform,0,,,,,,,,,,,anthony,,human
20144297,uniform,1,1,0,0,change,infrastructure,1_to_5y,agrees,1.0,2.0,"Apple T2 chip, Hackintosh support",anthony,they just need a few years before they can stop supporting the “normal” computers.,human
8768025,uniform,0,,,,,,,,,,,anthony,,human
17120723,uniform,1,1,0,0,change,policy_law,unstated,agrees,1.0,1.0,Microsoft GDPR compliance,anthony,I'm concerned that Microsoft is not going to stop here,human
2291691,uniform,0,,,,,,,,,,,anthony,,human
16210207,uniform,0,,,,,,,,,,,anthony,,human
9513329,uniform,0,,,,,,,,,,,anthony,"personal hope, not a scoped forecast",human
15821946,uniform,0,,,,,,,,,,,anthony,,human
21433059,uniform,0,,,,,,,,,,,anthony,"quotes others' insult, not own forecast",human
10318153,uniform,0,,,,,,,,,,,anthony,,human
3996836,uniform,0,,,,,,,,,,,anthony,,human
2316141,uniform,0,,,,,,,,,,,anthony,,human
17295494,uniform,0,,,,,,,,,,,anthony,,human
2961085,uniform,0,,,,,,,,,,,anthony,,human
11376338,uniform,1,1,0,0,success,language_or_framework,unstated,agrees,2.0,1.0,Electron,anthony,Electron is the future of desktop software,human
8261276,uniform,0,,,,,,,,,,,anthony,,human
12927755,uniform,0,,,,,,,,,,,anthony,"describes current fade, not a forecast",human
