id,stratum,is_prediction,is_checkable,is_sarcastic,is_conditional,direction,domain,horizon,stance_vs_thread,certainty,specificity,subject_text,labeler,notes
9239334,uniform,0,,,,,,,,,,,anthony,
14994043,uniform,0,,,,,,,,,,,anthony,
11567113,uniform,0,,,,,,,,,,,anthony,
12317972,uniform,0,,,,,,,,,,,anthony,
12262775,uniform,0,,,,,,,,,,,anthony,"review: present-tense benchmark claims, not a forecast"
8176452,enriched,1,,,,,,,,,,,anthony,
15892976,uniform,0,,,,,,,,,,,anthony,
9999897,uniform,0,,,,,,,,,,,anthony,
21305090,uniform,0,,,,,,,,,,,anthony,
3284174,uniform,0,,,,,,,,,,,anthony,
1746791,uniform,0,,,,,,,,,,,anthony,
16772822,uniform,0,,,,,,,,,,,anthony,
5947415,enriched,0,,,,,,,,,,,anthony,"will is capability or refusal, not forecast"
16298109,uniform,0,,,,,,,,,,,anthony,"the govt will just be adding in traffic surveillance cameras | review: question, no assertion"
963607,uniform,1,,,,,,,,,,,anthony,They will (soon) have type/proof systems
16965093,enriched,0,,,,,,,,,,,anthony,Wills are quoted; no own forecast
12647501,enriched,0,,,,,,,,,,,anthony,"Rhetorical question, not a stated forecast"
6011379,uniform,0,,,,,,,,,,,anthony,
11400152,enriched,1,,,,,,,,,,,anthony,they will never be cool
5147479,uniform,0,,,,,,,,,,,anthony,"Describes current bundler behavior, not forecast"
6481074,uniform,0,,,,,,,,,,,anthony,
20908911,uniform,0,,,,,,,,,,,anthony,
20041764,enriched,0,,,,,,,,,,,anthony,going to is advice about concern
2316141,uniform,0,,,,,,,,,,,anthony,
9811051,uniform,0,,,,,,,,,,,anthony,
510085,enriched,0,,,,,,,,,,,anthony,"Quoted question, not a forecast"
9181052,uniform,0,,,,,,,,,,,anthony,
3979092,enriched,1,,,,,,,,,,,anthony,Chances are high that it will be Linux
2292330,uniform,0,,,,,,,,,,,anthony,
17164225,uniform,0,,,,,,,,,,,anthony,
1348595,enriched,0,,,,,,,,,,,anthony,"Quotes Google's plan, not own forecast"
10549425,uniform,1,,,,,,,,,,,anthony,I doubt the same is going to happen
8599484,uniform,0,,,,,,,,,,,anthony,going to is hypothetical courtroom procedure
20630004,uniform,0,,,,,,,,,,,anthony,
8844779,uniform,0,,,,,,,,,,,anthony,
15644325,enriched,1,,,,,,,,,,,anthony,Give it ten years. Less if you elect Trump again
19775877,enriched,0,,,,,,,,,,,anthony,going to need is startup advice
1755553,uniform,0,,,,,,,,,,,anthony,
15388897,uniform,0,,,,,,,,,,,anthony,
17806301,uniform,0,,,,,,,,,,,anthony,
6986468,uniform,0,,,,,,,,,,,anthony,
4819607,uniform,0,,,,,,,,,,,anthony,
4387363,uniform,0,,,,,,,,,,,anthony,"Uncertainty, no stated forecast"
8594594,uniform,0,,,,,,,,,,,anthony,
19453429,enriched,0,,,,,,,,,,,anthony,"Habitual will, not a forecast"
1975391,uniform,0,,,,,,,,,,,anthony,
18297242,uniform,0,,,,,,,,,,,anthony,
7142885,uniform,0,,,,,,,,,,,anthony,
7184724,enriched,1,,,,,,,,,,,anthony,guarantees will put less pressure on insurance companies
10690610,uniform,0,,,,,,,,,,,anthony,
12064590,uniform,0,,,,,,,,,,,anthony,
600558,enriched,1,,,,,,,,,,,anthony,won't get a 3.x update
21017722,enriched,0,,,,,,,,,,,anthony,"Interview advice, not a forecast"
7967558,enriched,1,,,,,,,,,,,anthony,GDP is going to end up going the same direction
6118083,enriched,0,,,,,,,,,,,anthony,"Coding advice, not a forecast"
8526901,uniform,0,,,,,,,,,,,anthony,
13093882,uniform,0,,,,,,,,,,,anthony,"I wonder if they would change the law | review: question, no assertion"
13420909,uniform,0,,,,,,,,,,,anthony,
8292853,uniform,0,,,,,,,,,,,anthony,
18378379,uniform,0,,,,,,,,,,,anthony,
5518375,uniform,0,,,,,,,,,,,anthony,
14864119,uniform,0,,,,,,,,,,,anthony,
15821946,uniform,0,,,,,,,,,,,anthony,
13301263,enriched,1,,,,,,,,,,,anthony,billions lost will be covered by someone else
13235423,uniform,0,,,,,,,,,,,anthony,
21726858,uniform,0,,,,,,,,,,,anthony,
10996714,enriched,1,,,,,,,,,,,anthony,I doubt the rate raise will stick
10418280,enriched,0,,,,,,,,,,,anthony,free will is not a forecast
11905590,enriched,0,,,,,,,,,,,anthony,"algorithm behavior, not a forecast"
9541596,enriched,0,,,,,,,,,,,anthony,"habitual behavior, not a forecast"
10450472,uniform,0,,,,,,,,,,,anthony,"how-to necessity, not a forecast"
13580287,uniform,0,,,,,,,,,,,anthony,
2954135,enriched,0,,,,,,,,,,,anthony,"hope, not a claimed forecast"
1582614,enriched,0,,,,,,,,,,,anthony,"quoted principle, not a forecast"
8568073,uniform,0,,,,,,,,,,,anthony,"restates parent, not own forecast"
16215514,enriched,0,,,,,,,,,,,anthony,"Maybe the next one will be | review: conversational filler, not a product forecast"
12382195,uniform,0,,,,,,,,,,,anthony,
10208482,uniform,1,,,,,,,,,,,anthony,"plan critique, not an outcome forecast | review: asserts a policy change will happen"
18133517,enriched,0,,,,,,,,,,,anthony,"personal hope, not a forecast"
13759643,uniform,0,,,,,,,,,,,anthony,
2970135,uniform,0,,,,,,,,,,,anthony,"it may become a feature once they convert | review: hearsay, not an endorsed forecast"
8583234,uniform,0,,,,,,,,,,,anthony,
20508848,enriched,1,,,,,,,,,,,anthony,that will never happen
8341500,uniform,0,,,,,,,,,,,anthony,
21822166,uniform,0,,,,,,,,,,,anthony,
9200286,uniform,0,,,,,,,,,,,anthony,
15920677,uniform,0,,,,,,,,,,,anthony,"present language behavior, not forecast"
13087762,uniform,0,,,,,,,,,,,anthony,
3024841,uniform,1,,,,,,,,,,,anthony,"will be assimilated, in a few years' time"
4250927,uniform,0,,,,,,,,,,,anthony,
21496134,enriched,1,,,,,,,,,,,anthony,shows falling costs as a percentage of GDP
3349785,uniform,0,,,,,,,,,,,anthony,
3697420,uniform,0,,,,,,,,,,,anthony,
2682375,uniform,0,,,,,,,,,,,anthony,
18040922,uniform,0,,,,,,,,,,,anthony,
1872112,enriched,0,,,,,,,,,,,anthony,personal end of own Gmail use
18588371,enriched,1,,,,,,,,,,,anthony,All this is going to do is shuffle out the miners
1837674,enriched,0,,,,,,,,,,,anthony,"career advice, not a trend forecast"
11480460,uniform,0,,,,,,,,,,,anthony,
6764541,uniform,0,,,,,,,,,,,anthony,
16224198,uniform,0,,,,,,,,,,,anthony,
7978343,uniform,0,,,,,,,,,,,anthony,
7609265,uniform,0,,,,,,,,,,,anthony,
1342285,uniform,0,,,,,,,,,,,anthony,
11669063,enriched,1,,,,,,,,,,,anthony,we'll fork it and relicense it under the GPL
9212890,uniform,0,,,,,,,,,,,anthony,
13306505,uniform,0,,,,,,,,,,,anthony,
21617175,enriched,0,,,,,,,,,,,anthony,"personal encouragement, not a trend"
13115317,enriched,1,,,,,,,,,,,anthony,won't stand up in a court of law
16524293,uniform,0,,,,,,,,,,,anthony,
8898332,uniform,0,,,,,,,,,,,anthony,
642911,uniform,1,,,,,,,,,,,anthony,The kids will love school in a way that no one thought possible
11944930,uniform,0,,,,,,,,,,,anthony,
11828305,uniform,0,,,,,,,,,,,anthony,
6036988,uniform,0,,,,,,,,,,,anthony,
11391679,uniform,0,,,,,,,,,,,anthony,quoted joke about closing a window
8639406,uniform,0,,,,,,,,,,,anthony,
10827238,uniform,0,,,,,,,,,,,anthony,
5211827,uniform,0,,,,,,,,,,,anthony,
10426384,enriched,0,,,,,,,,,,,anthony,"one person's fate, not a trend"
6675258,enriched,0,,,,,,,,,,,anthony,"maybe some day someone will come along and help | review: advice, maybe-someday is not a forecast"
13122449,enriched,1,,,,,,,,,,,anthony,might encourage more people to sign up for United credit cards
20768120,enriched,0,,,,,,,,,,,anthony,"Advice about one employee, not a trend"
8640816,uniform,0,,,,,,,,,,,anthony,
11376338,uniform,1,,,,,,,,,,,anthony,Electron is the future of desktop software
15015756,enriched,0,,,,,,,,,,,anthony,"One person's conduct, not a listed topic"
1110871,uniform,0,,,,,,,,,,,anthony,
15223101,uniform,0,,,,,,,,,,,anthony,
14884762,enriched,0,,,,,,,,,,,anthony,"Personal to-do, not a forecast"
11474680,uniform,1,,,,,,,,,,,anthony,they could be popular again
11414081,enriched,0,,,,,,,,,,,anthony,"going to Apple is travel, not future"
17372246,enriched,0,,,,,,,,,,,anthony,"Question asking who will, no claim"
11124259,uniform,0,,,,,,,,,,,anthony,
10510388,uniform,0,,,,,,,,,,,anthony,
2405458,uniform,0,,,,,,,,,,,anthony,"Own app memory guess, not a forecast"
19477301,uniform,0,,,,,,,,,,,anthony,
12808510,uniform,1,,,,,,,,,,,anthony,it'll exist and be great if ads die off
4085694,enriched,0,,,,,,,,,,,anthony,"Technique effectiveness, not a future event"
9167474,uniform,0,,,,,,,,,,,anthony,
6532430,uniform,0,,,,,,,,,,,anthony,
16812911,uniform,0,,,,,,,,,,,anthony,
12574131,enriched,1,,,,,,,,,,,anthony,the big biz will save themselves by going overseas
11502046,uniform,0,,,,,,,,,,,anthony,
14321409,uniform,0,,,,,,,,,,,anthony,
19719631,uniform,0,,,,,,,,,,,anthony,
15829718,uniform,1,,,,,,,,,,,anthony,nobody will ever turn it into a workable policy
2519505,enriched,0,,,,,,,,,,,anthony,"Quoted going-to is rejected, not endorsed"
21012358,uniform,0,,,,,,,,,,,anthony,
10139891,enriched,0,,,,,,,,,,,anthony,"local deploy claim, not a trend"
13340570,enriched,0,,,,,,,,,,,anthony,"I won't have to worry about renewing certs anymore | review: current product behavior, not a forecast"
7030996,uniform,0,,,,,,,,,,,anthony,
20016297,uniform,0,,,,,,,,,,,anthony,personal refusal; habitual present behavior
18591245,uniform,0,,,,,,,,,,,anthony,
16884249,uniform,0,,,,,,,,,,,anthony,
16137821,enriched,1,,,,,,,,,,,anthony,human race shrivelling up and going extinct
4197954,enriched,0,,,,,,,,,,,anthony,"math logic claim, not a trend"
14066908,enriched,0,,,,,,,,,,,anthony,"hypothetical mechanism, not a forecast"
4504462,enriched,1,,,,,,,,,,,anthony,I don't see how this is going to harm the bottom line
12952466,enriched,1,,,,,,,,,,,anthony,manufacturers will have to add little heating pads
18153093,uniform,0,,,,,,,,,,,anthony,
5514897,enriched,1,,,,,,,,,,,anthony,they will also know every customers web habbits
8577442,uniform,0,,,,,,,,,,,anthony,
7661704,uniform,0,,,,,,,,,,,anthony,
12230585,uniform,1,,,,,,,,,,,anthony,they might reach a point where the competition looks very bad
13868519,enriched,0,,,,,,,,,,,anthony,"current customs duty, not a forecast"
16664240,enriched,1,,,,,,,,,,,anthony,A company will always err on the side of firing
10374670,uniform,0,,,,,,,,,,,anthony,
15151441,enriched,0,,,,,,,,,,,anthony,"gerund going-to, not a forecast"
8328488,uniform,0,,,,,,,,,,,anthony,
4885178,uniform,0,,,,,,,,,,,anthony,
5003787,uniform,0,,,,,,,,,,,anthony,
1812160,enriched,0,,,,,,,,,,,anthony,"advice, not a product forecast"
6093684,uniform,0,,,,,,,,,,,anthony,describes current Google behavior
7608491,uniform,0,,,,,,,,,,,anthony,"reader motivation, not a tech forecast"
10673510,enriched,1,,,,,,,,,,,anthony,Swift 3 will be ABI stable
9284895,uniform,0,,,,,,,,,,,anthony,
4024331,uniform,0,,,,,,,,,,,anthony,
13356428,enriched,0,,,,,,,,,,,anthony,notes they didn't say; no own claim
15760353,uniform,0,,,,,,,,,,,anthony,
4534162,uniform,0,,,,,,,,,,,anthony,
20968028,uniform,0,,,,,,,,,,,anthony,
910998,uniform,0,,,,,,,,,,,anthony,
20916596,enriched,1,,,,,,,,,,,anthony,people will always get around things like that
3415752,uniform,0,,,,,,,,,,,anthony,
6901396,enriched,1,,,,,,,,,,,anthony,I don't think it will prove much worse
